Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
dhmix_327878821095228169,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.47376,,c1ccncc1,Solvent,0.52624,,-0.093,,,,10.1021/je400184t
dens_329853745037487876,298.15,101.325,Liquid,1,NCCNCCN,Solvent,1.0,,,,,,,,0.9455480000000004,,10.1016/j.tca.2011.06.003
dens_330170096093207350,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.257,,CCC(=O)OC,Solvent,0.743,,,,1.2059400000000002,,10.1016/j.jct.2006.05.004
dhmix_334727518766286363,298.15,101.0,Liquid,2,CN(C)C=O,Solvent,0.498,,ClCCCCCCCl,Solvent,0.502,,0.34,,,,10.1016/j.jct.2007.06.017
dhmix_336285675444087537,298.2,100.0,Liquid,2,C1CCCCC1,Solvent,0.5012,,c1ccccc1,Solvent,0.4988,,0.7893,,,,10.1016/j.jct.2014.05.020
dens_337311334458318254,298.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.7054,,ClCCCl,Solvent,0.2946,,,,1.0336,,10.1021/je700339f
dens_339250885538541547,298.15,101.0,Liquid,2,COC=O,Solvent,0.753,,ClCCCl,Solvent,0.247,,,,1.0461600000000004,,10.1016/j.jct.2006.10.008
dens_346164369782844684,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.708,,O=C1CCCC1,Solvent,0.292,,,,0.8972200000000002,,10.1021/je025649t
dhmix_348075952532363719,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7324,,CN1CCCC1=O,Solvent,0.2676,,-0.0861,,,,10.1021/je900262t
dens_348486391929778203,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.5256,,COC(C)=O,Solvent,0.4744,,,,1.5338800000000006,,10.1016/j.jct.2006.05.004
dhmix_349345583763651495,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2379,,Cc1ccccc1N,Solvent,0.7621,,-0.3658,,,,10.1021/je1005196
dhmix_350356473844859529,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.25,,O=C1CCCCC1,Solvent,0.75,,0.05827,,,,10.1021/je025649t
dens_350535357052014234,298.15,101.0,Liquid,2,CCC(C)(C)O,Solvent,0.5495,,CCO,Solvent,0.4505,,,,0.8018000000000002,,10.1021/je050416y
dhmix_351760126810402317,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.2391,,OCCc1ccccc1,Solvent,0.7609,,0.6669,,,,10.1021/je050085p
dhmix_353201759672704414,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2789,,CN1CCCC1=O,Solvent,0.7211,,1.2061,,,,10.1016/j.jct.2010.12.016
dens_355578901910645867,298.15,101.325,Liquid,1,NCCO,Solvent,1.0,,,,,,,,1.0117900000000002,,10.1016/j.fluid.2015.06.041
dhmix_355590496212489213,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4926,,Cc1cccnc1,Solvent,0.5074,,-1.4091,,,,10.1016/j.jct.2010.12.028
dhmix_357179453940586978,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.5001,,CCCO,Solvent,0.4999,,0.595,,,,10.1021/je5004912
dens_359972802449116011,298.15,101.0,Liquid,2,CCCCC(=O)OCC,Solvent,0.3047,,CCOC(C)=O,Solvent,0.6953,,,,0.8836400000000002,,10.1016/j.jct.2012.03.011
dens_365342287231812336,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2263,,Cc1ccccc1Cl,Solvent,0.7737,,,,1.0396,,10.1021/je400722h
dhmix_366329833836954000,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2394,,C1COCCO1,Solvent,0.7606,,1.124,,,,10.1016/j.fluid.2006.03.020
dens_367809609823867784,298.15,101.325,Liquid,1,Cc1ccncc1,Solvent,1.0,,,,,,,,0.9498700000000002,,10.1021/je200093f
dhmix_368096719746856684,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.7968,,COC=O,Solvent,0.2032,,0.219,,,,10.1016/j.jct.2015.02.019
dens_369880456643676862,298.15,101.325,Liquid,1,Nc1ccccc1,Solvent,1.0,,,,,,,,1.0173,,10.1016/j.fluid.2010.08.010
dens_375353030637048398,298.15,101.325,Liquid,2,CCOC=O,Solvent,0.758,,ClCCCl,Solvent,0.242,,,,0.9922300000000004,,10.1016/j.jct.2005.03.020
dhmix_375647983561229221,298.15,101.0,Liquid,2,O,Solvent,0.6998,,OCCN1CCOCC1,Solvent,0.3002,,-2.426,,,,10.1016/j.jct.2015.06.006
dhmix_377878171183291271,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7344,,c1ccncc1,Solvent,0.2656,,0.1564,,,,10.1016/j.tca.2011.02.002
dhmix_381042494449616667,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5363,,c1ccncc1,Solvent,0.4637,,0.1573,,,,10.1016/j.tca.2011.02.002
dens_381434455979090548,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2354,,O=C1CCCC1,Solvent,0.7646,,,,0.9281000000000004,,10.1021/je025649t
dhmix_387207545087756984,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.703,,ClCCCCCl,Solvent,0.297,,-0.583,,,,10.1016/j.jct.2008.01.024
dens_387300837071353470,298.15,101.325,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,,,,,,,,0.6879000000000002,,10.1016/j.fluid.2012.06.031
dens_390268898774621565,298.15,100.0,Liquid,2,CNc1ccccc1,Solvent,0.2452,,Cc1ccccc1,Solvent,0.7548,,,,0.8935250000000002,,10.1021/je400134d
dhmix_394716890558875370,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8216,,Cc1ccccn1,Solvent,0.1784,,0.1352,,,,10.1016/j.tca.2011.02.002
dens_397536353755601307,298.15,101.0,Liquid,2,COC=O,Solvent,0.244,,ClCCCCl,Solvent,0.756,,,,1.1395000000000002,,10.1016/j.jct.2006.10.008
dhmix_398619000969156332,298.15,101.0,Liquid,2,CCCCCCC,Solvent,0.7032,,CNc1ccccc1,Solvent,0.2968,,1.539,,,,10.1016/j.jct.2012.07.006
dens_402350572101646132,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.2285,,OCc1ccccc1,Solvent,0.7715,,,,1.0497600000000002,,10.1021/je0342062
dhmix_403126033609730929,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.7136,,OCCCc1ccccc1,Solvent,0.2864,,1.1088,,,,10.1021/je050085p
dens_404724715554480705,298.15,101.0,Liquid,2,Cn1ccnc1,Solvent,0.2167,,O,Solvent,0.7833,,,,1.0301000000000002,,10.1016/j.jct.2012.06.015
dens_404951045951212315,298.15,100.0,Liquid,2,CCCCCCCl,Solvent,0.8012,,CN1CCCC1=O,Solvent,0.1988,,,,0.8970000000000002,,10.1021/je7003758
dens_405557822405632187,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4863,,Cc1ccncc1,Solvent,0.5137,,,,0.9765780000000002,,10.1016/j.jct.2010.12.028
dhmix_408726027793689512,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.2678,,OCCc1ccccc1,Solvent,0.7322,,0.688,,,,10.1021/je050085p
dhmix_413664013912660584,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.7411,,c1ccccc1,Solvent,0.2589,,-0.3841,,,,10.1016/j.jct.2010.12.016
dens_416118496503965480,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5046,,CCCC(C)=O,Solvent,0.4954,,,,0.8386000000000002,,10.1021/je025649t
dens_419265039033809639,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.2446,,CCCNCCC,Solvent,0.7554,,,,0.7446230000000003,,10.1016/j.tca.2010.09.004
dens_419409574518953070,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.248,,CO,Solvent,0.752,,,,0.8375100000000002,,10.1016/j.jct.2015.02.019
dens_420015000085751703,298.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.5,,O,Solvent,0.5,,,,0.90329,,10.1016/j.jct.2007.05.009
dhmix_420495113830342866,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.5,,CCCC(C)=O,Solvent,0.5,,0.26523,,,,10.1021/je034037l
dens_420610018368022209,298.15,101.325,Liquid,1,ClCCCl,Solvent,1.0,,,,,,,,1.2463700000000002,,10.1016/j.fluid.2015.06.041
dens_424349283625286915,298.15,101.0,Liquid,2,CCN(CC)CCO,Solvent,0.19329,,O,Solvent,0.80671,,,,0.9615690000000002,,10.1021/je301371p
dens_434610953563268437,298.15,101.325,Liquid,1,C1COCCN1,Solvent,1.0,,,,,,,,0.9960000000000002,,10.1021/je020191g
dens_434654293043367064,298.15,101.3,Liquid,2,CCCCCC(C)=O,Solvent,0.5427,,CCCNCCC,Solvent,0.4573,,,,0.7766620000000002,,10.1016/j.jct.2011.05.003
dhmix_440004906362242557,298.15,101.0,Liquid,2,C1CCCC1,Solvent,0.5,,CCCCCCCO,Solvent,0.5,,0.392,,,,10.1021/je700308j
dhmix_440112582834070452,298.15,101.0,Liquid,2,CCOC(C)(C)C,Solvent,0.5019,,Cc1ccccc1,Solvent,0.4981,,-0.046,,,,10.1016/j.jct.2008.12.004
dhmix_440504403413358602,308.15,101.0,Liquid,2,C1COCO1,Solvent,0.5009,,Cc1ccccc1Cl,Solvent,0.4991,,0.393,,,,10.1021/je400722h
dhmix_440517059765210759,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7518,,CN1CCCC1=O,Solvent,0.2482,,1.1998,,,,10.1016/j.jct.2010.12.016
dens_447619280533386169,298.15,101.3,Liquid,2,C1CCOCC1,Solvent,0.504,,CCO,Solvent,0.496,,,,0.8440100000000001,,10.1021/je201140q
dhmix_448342343028410145,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7748,,CC(C)OC(C)C,Solvent,0.2252,,0.132161,,,,10.1021/je9001416
dhmix_451054579432909691,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.5044,,CCCCNCCCC,Solvent,0.4956,,0.619,,,,10.1016/j.fluid.2013.01.011
dhmix_451119198083071369,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8262,,Cc1ccncc1,Solvent,0.1738,,0.0948,,,,10.1016/j.tca.2011.02.002
dens_451680082175322481,308.15,101.0,Liquid,2,CNC=O,Solvent,0.7211,,Cc1ccccc1N,Solvent,0.2789,,,,0.9935880000000002,,10.1016/j.tca.2011.06.020
dhmix_452123359835927239,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.767,,OCCc1ccccc1,Solvent,0.233,,1.1154,,,,10.1021/je050085p
dhmix_459395490224344002,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7055,,CNc1ccccc1,Solvent,0.2945,,-0.672,,,,10.1021/je200333p
dhmix_462036751725771546,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.2938,,CCCCBr,Solvent,0.7062,,1.248,,,,10.1021/je020110g
dhmix_468809720461211834,298.15,101.0,Liquid,2,CCCOC=O,Solvent,0.7385,,ClCCCl,Solvent,0.2615,,-0.205,,,,10.1016/j.jct.2008.10.007
dhmix_469535023732097046,308.15,101.3,Liquid,2,CCCCOC(C)=O,Solvent,0.7714,,c1ccccc1,Solvent,0.2286,,-0.0245,,,,10.1016/j.fluid.2005.06.011
dhmix_470742756394793715,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.797,,ClCCCCCCCl,Solvent,0.203,,-0.123,,,,10.1016/j.jct.2008.01.024
dens_472001727766834166,298.15,101.325,Liquid,1,COC(C)=O,Solvent,1.0,,,,,,,,0.9270100000000002,,10.1021/je9005618
dens_472231270806735849,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.7277,,OCc1ccccc1,Solvent,0.2723,,,,1.0857000000000003,,10.1021/je0342062
dhmix_473337245903479255,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.4547,,CCCCCl,Solvent,0.5453,,-0.0954,,,,10.1016/j.fluid.2011.06.001
dhmix_473791470406754813,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7735,,c1ccncc1,Solvent,0.2265,,-0.7828,,,,10.1016/j.jct.2010.12.028
dhmix_476959489489939546,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.35,,CCCC(C)=O,Solvent,0.65,,0.17755,,,,10.1021/je034223r
dhmix_485972832984521185,298.15,101.0,Liquid,2,OC1=NCCC1,Solvent,0.5256,,c1ccncc1,Solvent,0.4744,,0.2031,,,,10.1016/j.jct.2013.09.015
dhmix_487525270900785915,298.15,101.0,Liquid,2,CCCCCl,Solvent,0.49,,CN1CCCC1=O,Solvent,0.51,,0.152,,,,10.1016/j.jct.2008.01.024
dhmix_489839697622596307,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.7613,,OCc1ccccc1,Solvent,0.2387,,-0.3019,,,,10.1021/je0504212
dhmix_493050251409002266,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.4998,,CCCO,Solvent,0.5002,,0.6025,,,,10.1016/j.fluid.2012.06.031
dens_494082186884313855,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.937492,,c1ccccc1,Solvent,0.062508,,,,1.0204500000000003,,10.1016/j.fluid.2008.11.006
dens_496197775470448374,298.15,100.0,Liquid,2,C1COCCO1,Solvent,0.2523,,O=C1CCCCC1,Solvent,0.7477,,,,0.9594500000000002,,10.1021/acs.jced.6b00606
dhmix_496556822612575788,298.15,101.0,Liquid,2,CC(C)(C)Cl,Solvent,0.5512,,CC(C)OC(C)C,Solvent,0.4488,,0.0071,,,,10.1016/j.fluid.2011.06.001
dhmix_497599637578903843,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7922,,CCCCNCCCC,Solvent,0.2078,,0.425,,,,10.1016/j.fluid.2013.01.011
dens_499674511911295315,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.2883,,OCc1ccccc1,Solvent,0.7117,,,,1.0180000000000002,,10.1021/je050085p
dens_502490279576457142,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.2484,,Nc1ccccc1,Solvent,0.7516,,,,0.9768950000000002,,10.1021/je900874z
dens_502535215499306300,298.15,101.0,Liquid,2,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,0.7897,,CCO,Solvent,0.2103,,,,0.9274800000000002,,10.1016/j.jct.2013.09.024
dens_503453643565878646,298.15,101.325,Liquid,1,Cc1ccccc1Cl,Solvent,1.0,,,,,,,,1.0764700000000005,,10.1016/j.fluid.2014.01.019
dhmix_505515933495562446,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.7594,,COC(C)=O,Solvent,0.2406,,0.313,,,,10.1016/j.jct.2006.05.004
dhmix_507854909217059453,308.15,101.3,Liquid,2,CCCCOC(C)=O,Solvent,0.4958,,c1ccccc1,Solvent,0.5042,,-0.0245,,,,10.1016/j.fluid.2005.06.011
dens_508799632828088383,298.15,101.325,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,,,0.7738000000000002,,10.1016/j.fluid.2013.10.033
dhmix_511205112916679931,298.15,101.0,Liquid,2,CN(C)C=O,Solvent,0.702,,ClCCCl,Solvent,0.298,,-0.531,,,,10.1016/j.jct.2007.06.017
dens_513041114711263706,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7432,,c1ccccc1,Solvent,0.2568,,,,0.8789500000000002,,10.1021/je5004719
dhmix_514747936460800907,298.15,101.0,Liquid,2,CCCOC(=O)CC,Solvent,0.7874,,ClCCCl,Solvent,0.2126,,-0.357,,,,10.1016/j.jct.2008.10.007
dhmix_519020692910829058,298.15,100.0,Liquid,2,CC1CCCCC1,Solvent,0.2504,,CCCO,Solvent,0.7496,,0.321,,,,10.1016/j.jct.2016.10.005
dens_520026157857283005,298.15,100.0,Liquid,2,C1CCCCC1,Solvent,0.7464,,CNc1ccccc1,Solvent,0.2536,,,,0.8233530000000001,,10.1021/je400134d
dhmix_520375309510530851,298.15,101.0,Liquid,2,CCCCO,Solvent,0.1447,,OC1=NCCC1,Solvent,0.8553,,0.0949,,,,10.1021/je801006q
dhmix_523472618889480284,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7355,,Cc1cccnc1,Solvent,0.2645,,0.0924,,,,10.1016/j.tca.2011.02.002
dens_524218629195233709,298.15,100.0,Liquid,2,CN1CCCC1=O,Solvent,0.2025,,ClCCCl,Solvent,0.7975,,,,1.1953000000000005,,10.1021/je7003758
dens_529102635796730119,298.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.4988,,ClCCCl,Solvent,0.5012,,,,1.0957000000000003,,10.1021/je700339f
dhmix_529171701855664994,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.509,,CNc1ccccc1,Solvent,0.491,,-0.816,,,,10.1021/je200333p
dens_529923149814588013,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5215,,c1ccncc1,Solvent,0.4785,,,,1.0158200000000004,,10.1021/je301353z
dens_530283691889925101,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.244,,CCCCCC(C)=O,Solvent,0.756,,,,0.8445200000000002,,10.1021/je034223r
dhmix_535781898796979822,298.15,101.0,Liquid,2,CCCCCCCl,Solvent,0.497,,CN1CCCC1=O,Solvent,0.503,,0.416,,,,10.1016/j.jct.2008.01.024
dhmix_536135051106915019,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.503,,ClCCCCCCCl,Solvent,0.497,,-0.2,,,,10.1016/j.jct.2008.01.024
dhmix_538566704621214459,298.15,101.0,Liquid,2,O,Solvent,0.6996,,OCCOCCO,Solvent,0.3004,,-1.245,,,,10.1016/j.tca.2009.06.004
dhmix_542288537852235393,298.15,100.0,Liquid,2,CCC(C)=O,Solvent,0.2124,,CCN(CC)CC,Solvent,0.7876,,0.57,,,,10.1016/j.fluid.2013.07.037
dens_543182438041507229,298.15,101.325,Liquid,1,OCC(O)CO,Solvent,1.0,,,,,,,,1.2585200000000003,,10.1016/j.fluid.2014.06.015
dens_543966873359250584,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4777,,CCCCCCCC,Solvent,0.5223,,,,0.7250300000000002,,10.1016/j.jct.2005.02.006
dhmix_545156830559761733,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.2727,,CCCCCl,Solvent,0.7273,,-0.0785,,,,10.1016/j.fluid.2011.06.001
dens_547032285732366160,298.15,101.3,Liquid,2,NCCCO,Solvent,0.708044,,O,Solvent,0.291956,,,,0.9975000000000004,,10.1021/acs.jced.5b00412
dens_549005887643832332,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8,,CCCCCO,Solvent,0.2,,,,0.8635900000000002,,10.1021/je060368x
dens_550359933597768082,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7571,,Cc1ccccn1,Solvent,0.2429,,,,0.9854410000000002,,10.1016/j.jct.2010.12.028
dhmix_552797563400703897,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.6999,,CCCO,Solvent,0.3001,,0.6544,,,,10.1016/j.fluid.2012.06.031
dens_553274449043038627,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.5063,,O=C1CCCC1,Solvent,0.4937,,,,0.9849200000000002,,10.1021/je034037l
dens_554198919363933703,298.15,101.325,Liquid,1,OCc1ccccc1,Solvent,1.0,,,,,,,,1.0414000000000003,,10.1021/je049591p
dens_554997908553953148,298.0,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.5009,,ClCCCCCl,Solvent,0.4991,,,,1.0407000000000004,,10.1021/je700339f
dens_561561826422950782,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4994,,C1COCCO1,Solvent,0.5006,,,,0.8769800000000002,,10.1016/j.jct.2005.09.004
dens_571252427270497671,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.2536,,COC(C)=O,Solvent,0.7464,,,,0.9147400000000002,,10.1021/acs.jced.5b00813
dens_584381334695212103,293.15,101.0,Liquid,2,O,Solvent,0.299958,,OCCNCCO,Solvent,0.700042,,,,1.0963670000000003,,10.1016/j.tca.2012.01.007
dhmix_586189897838628934,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.2395,,c1ccncc1,Solvent,0.7605,,-1.7662,,,,10.1016/j.fluid.2013.10.029
dhmix_587300948837872895,298.15,101.0,Liquid,2,NCCCO,Solvent,0.7515,,O,Solvent,0.2485,,-1.531,,,,10.1016/j.jct.2007.03.010
dhmix_595013293980749267,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.7602,,c1ccncc1,Solvent,0.2398,,-1.6452,,,,10.1016/j.fluid.2013.10.029
dhmix_598453419822317191,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.5,,CCCCCC(C)=O,Solvent,0.5,,0.43148,,,,10.1021/je034223r
dhmix_599965830942534702,298.15,101.0,Liquid,2,CCCOC=O,Solvent,0.483,,ClCCCl,Solvent,0.517,,-0.4196,,,,10.1016/j.jct.2006.10.008
dhmix_604548222332043345,298.15,101.0,Liquid,2,CN(C)C=O,Solvent,0.203,,ClCCCCCCCl,Solvent,0.797,,0.195,,,,10.1016/j.jct.2007.06.017
dens_604968771825556353,298.15,101.0,Liquid,2,CCCO,Solvent,0.1929,,O=Cc1ccccc1,Solvent,0.8071,,,,1.0128,,10.1021/je900212d
dhmix_605127391506466631,298.15,101.3,Liquid,2,CO,Solvent,0.7626,,OCCO,Solvent,0.2374,,0.10027,,,,10.1021/je030207i
dens_610348500703165791,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7359,,COC(C)=O,Solvent,0.2641,,,,0.7176000000000002,,10.1021/acs.jced.5b00813
dhmix_614348814289055643,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.256,,COC(C)=O,Solvent,0.744,,1.385,,,,10.1021/acs.jced.5b00813
dens_614753354611828777,298.15,101.0,Liquid,2,CC(C)CCl,Solvent,0.091,,CC(C)OC(C)C,Solvent,0.909,,,,0.7293950000000001,,10.1021/je100765j
dhmix_616475802605279423,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.5,,O=C1CCCC1,Solvent,0.5,,-0.02181,,,,10.1021/je034223r
dhmix_620454085131636646,298.15,101.0,Liquid,2,O,Solvent,0.5031,,OCCNCCO,Solvent,0.4969,,-1.916,,,,10.1016/j.jct.2007.03.010
dens_622009560878106235,298.0,101.325,Liquid,1,NCCCNCCCN,Solvent,1.0,,,,,,,,0.9273600000000002,,10.1021/acs.jced.5b00922
dhmix_623512244251244216,298.15,101.0,Liquid,2,COC=O,Solvent,0.2508,,ClCCCl,Solvent,0.7492,,0.0793,,,,10.1016/j.jct.2006.10.008
dhmix_623995532248084806,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.4841,,CN1CCCC1=O,Solvent,0.5159,,-0.1675,,,,10.1021/je900262t
dhmix_624210795998900127,298.15,100.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.4996,,CC(C)O,Solvent,0.5004,,1.5703,,,,10.1021/je7006633
dhmix_627434204794626754,298.15,101.0,Liquid,2,O,Solvent,0.8005,,OCC(O)CO,Solvent,0.1995,,-0.56,,,,10.1016/j.tca.2009.06.004
dens_627608989990105730,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.2603,,CCCCNCCCC,Solvent,0.7397,,,,0.7614750000000002,,10.1016/j.tca.2010.09.004
dhmix_630880798677774579,298.15,101.0,Liquid,2,CCCCC(=O)OCC,Solvent,0.5198,,CCOC(C)=O,Solvent,0.4802,,0.154,,,,10.1016/j.jct.2012.03.011
dens_632952273520380415,298.15,101.3,Liquid,2,CCOC(C)(C)C,Solvent,0.701,,Cc1ccccc1,Solvent,0.299,,,,0.7696300000000001,,10.1016/j.jct.2007.05.005
dhmix_638146066425115880,298.15,101.0,Liquid,2,O,Solvent,0.5022,,OCC(O)CO,Solvent,0.4978,,-0.547,,,,10.1016/j.tca.2009.06.004
dens_638319718136632969,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4837,,c1ccncc1,Solvent,0.5163,,,,0.9912370000000004,,10.1016/j.jct.2010.12.028
dhmix_642682056044438280,298.15,101.0,Liquid,2,CNc1ccccc1,Solvent,0.2952,,Cc1ccccc1,Solvent,0.7048,,0.459,,,,10.1016/j.jct.2012.07.006
dhmix_644212024571723784,291.15,101.0,Liquid,2,CCCCC,Solvent,0.5217,,COC=O,Solvent,0.4783,,1.876,,,,10.1016/j.fluid.2013.11.026
dhmix_644806538943658854,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.5,,CCCCCC(C)=O,Solvent,0.5,,0.4509,,,,10.1021/je034037l
dhmix_647125005407274492,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7005,,CCCCOCCCC,Solvent,0.2995,,0.10948,,,,10.1016/j.fluid.2009.11.010
dhmix_652048853041426910,298.15,101.0,Liquid,2,CC(=O)CC(C)C,Solvent,0.2017,,CCC(C)(C)O,Solvent,0.7983,,0.8181,,,,10.1021/je300678r
dens_652373013804398619,298.15,100.0,Liquid,2,CCCCCCCl,Solvent,0.2984,,CN1CCCC1=O,Solvent,0.7016,,,,0.9715000000000004,,10.1021/je7003758
dhmix_653913870196372678,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.7336,,c1ccccc1,Solvent,0.2664,,0.2326,,,,10.1016/j.fluid.2006.04.016
dhmix_655011872649839968,298.15,101.3,Liquid,2,CCC(C)(C)O,Solvent,0.4607,,CCO,Solvent,0.5393,,-0.95,,,,10.1021/je101031j
dhmix_659230745693232611,297.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.75,,O,Solvent,0.25,,-1.4628,,,,10.1016/j.fluid.2009.10.018
dhmix_659583178864922509,298.15,101.0,Liquid,2,O,Solvent,0.2094,,OCCOCCO,Solvent,0.7906,,-0.521,,,,10.1016/j.tca.2009.06.004
dhmix_661511558749317603,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4826,,c1ccncc1,Solvent,0.5174,,-1.0329,,,,10.1016/j.jct.2010.12.028
dhmix_664260221584345077,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.7339,,COC(C)=O,Solvent,0.2661,,0.178,,,,10.1021/acs.jced.5b00813
dens_665609190658389682,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.1503,,CCCO,Solvent,0.8497,,,,0.7704980000000002,,10.1021/je100595s
dens_666973790901626876,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.515,,OCCCc1ccccc1,Solvent,0.485,,,,0.9715100000000002,,10.1021/je050085p
dhmix_670915582834547135,298.15,100.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.2001,,CC(C)O,Solvent,0.7999,,1.1352,,,,10.1021/je7006633
dhmix_674719411452934527,298.15,101.0,Liquid,2,CNc1ccccc1,Solvent,0.7892,,Cc1ccccc1,Solvent,0.2108,,0.287,,,,10.1016/j.jct.2012.07.006
dens_675203990373383049,303.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.7564,,Cc1ccccc1,Solvent,0.2436,,,,0.9854500000000004,,10.1016/j.jct.2006.05.006
dhmix_676514849261639671,298.15,101.3,Liquid,2,C1CCOCC1,Solvent,0.5,,CCO,Solvent,0.5,,0.8491,,,,10.1021/je049852v
